event_id,event_ts,user_id,event_type,session_id,page,button_id,platform
evt_dce3637046ef4fc68d,2026-01-11T19:59:16Z,4b83c738-a144-4528-ab89-7d5bed3a9158,button_click,s_a8381b2e9090,,request_cta,android
evt_8749d3916c8b4d00a8,2026-01-11T04:12:59Z,08da47fd-ea0a-4759-ba8f-af436c2ada16,page_view,s_f92db7093569,/home,,ios
evt_9dc9cfd1e5734d6cbe,2026-01-23T23:04:36Z,8fa7ae44-5869-4b57-9d0d-8ac4b3ae4e15,page_view,s_8d0a2a212a42,/activity,,ios
evt_b4c790c46e354157a4,2026-01-11T20:04:59Z,9c775f06-d6fd-46d6-8301-8ba353a6fcbc,page_view,s_1f70319e921e,/p2p/confirm,,web
evt_096bdb0cd1f94d2eac,2026-01-25T07:30:47Z,3adc5aa4-a93b-47fc-8ab0-7e21d99d62a8,page_view,s_b051cc87ed3e,/home,,ios
evt_d35d5e82d6674dcc90,2026-01-08T13:42:13Z,1501165e-501a-48c7-b1be-c9f43ec6050c,page_view,s_f68432a4398d,/p2p/send,,web
evt_bb0e9b874b674da2ad,2026-01-18T20:46:16Z,b3fdff9b-9888-408b-915c-32737cc35191,p2p_confirm,s_907cabcf1936,/home,send_cta,ios
evt_cd6d3fa1949e4d83a9,2026-01-31T18:30:56Z,c448147f-59ee-42c4-b2df-d35259b96b02,login,s_12813bd72fbc,,,ios
evt_4c0560f04bc94d698d,2026-01-06T03:13:49Z,42f8799a-3aff-4c45-bab0-250b59924572,button_click,s_bc0ff0574ec8,,,ios
evt_58d80fb44a6e4dcb9f,2026-01-22T00:08:27Z,c28036fe-ee40-4cd8-9f4b-ff89c082d7cc,page_view,s_6e087e635178,/p2p,,android
evt_b78822e349844fd588,2026-01-19T21:04:14Z,6c44820a-a74d-4b6d-ae5b-2a65e30cc5de,page_view,s_da2b1dfb8bdf,/home,,android
evt_37e51ff9ea19488fb6,2026-01-17T03:37:05Z,8789bc93-06c3-49ec-8680-e4237343da4f,login,s_22fda89233ce,,,android
evt_1378292cb0b348c5be,2026-01-13T10:35:44Z,abaf5e1b-232e-41e8-bd8b-fc49101c808c,p2p_initiate,s_a34dc4a3050b,/settings,,ios
evt_ecb2f84585524ce590,2026-01-16T20:04:40Z,896b3338-4c3f-4bdd-8433-918ddf3ec1d6,login,s_3c2acc3a66eb,,,ios
evt_4f8a7f93d0b245f0bf,2026-01-26T13:34:53Z,e6fb619b-f0de-4033-953f-53062a3b57ba,page_view,s_4fb5376ff534,/p2p/confirm,,web
evt_498130ae7266453487,2026-01-29T08:21:02Z,8cf1d75a-7b51-4f2c-a89a-c1eb07648c1f,page_view,s_40d8aeebfb3d,/wallet,,android
evt_db6f94ef316b46509b,2026-01-08T02:56:58Z,18c9943b-6193-4b2d-8315-e0d9f9b0737f,page_view,s_5416b254ec58,/p2p,,android
evt_f768af037bee44baa2,2026-01-15T21:15:19Z,05e2c5ee-6c42-4003-b070-ac2d2846d1f8,p2p_confirm,s_26d2f93fdd1e,/p2p/send,,android
evt_dad7ad4fcc17478897,2026-01-13T11:34:44Z,9b499492-b583-4c46-89f3-8453835fa766,page_view,s_49486871e083,/activity,,web
evt_0d3f4aa9561d47fa9b,2026-01-14T18:18:12Z,d155c4e1-da27-4da4-ab4f-9d02390e37b2,page_view,s_ce725df724a3,/settings,,ios
evt_4b3826c5ef744bcb95,2026-01-16T00:33:00Z,65267e81-df6c-4657-b523-47246075c05f,page_view,s_417dcafbd47c,/settings,,android
evt_ec938302a41342deb6,2026-01-07T12:51:21Z,abd2e8e7-a8d4-40bd-8e31-d4f4cef82a99,button_click,s_9537afab5db9,,,android
evt_3dab1f88396e4067b2,2026-01-15T11:11:04Z,cd68d1d7-199d-4c31-894a-14e5a40278fd,page_view,s_8a992f610cee,/p2p/confirm,,android
evt_4c873f77d0b045b2a5,2026-01-02T04:59:45Z,f49addc0-3127-47c8-b89d-429b0ab706a1,page_view,s_563369de409f,/p2p/send,,web
evt_84e7cc1ec65b403585,2026-01-08T12:53:08Z,e961c6cb-82c2-4c4e-b474-038c36e2bce5,login,s_dde2eac4b138,,,web
evt_6c1dbfd45ba74fa19f,2026-01-22T04:59:09Z,65e798df-88f8-4774-9296-9ee7c314e5b2,button_click,s_82ab71351648,,,android
evt_908b9925fae243aca7,2026-01-30T20:48:51Z,4f49c01d-e4c1-4fbd-8b45-0140cc5a2efe,page_view,s_9ac68c9073dc,/wallet,,android
evt_e9a3d4d13756471c9b,2026-01-22T10:09:00Z,c52865a5-4940-4de1-96b0-47aebf9bbb3b,button_click,s_41694c67f0c1,,request_cta,web
evt_0660eb10b4334a2ab6,2026-01-06T14:40:01Z,be8bd6e0-e1e2-4e69-9e95-917ba1c1fc98,page_view,s_d59a6144cf17,/activity,,ios
evt_ac6243eff4f9429287,2026-01-10T21:10:02Z,e961c6cb-82c2-4c4e-b474-038c36e2bce5,button_click,s_e74cf711fa7f,,request_cta,android
evt_ee2f75bdaaff421b94,2026-01-24T01:11:23Z,606deb69-d023-4758-8137-ed7b453e5337,page_view,s_a5e5f00c9344,/activity,,ios
evt_8f494ee229984120aa,2026-01-08T02:22:47Z,cf85d54e-cafb-4d8d-bdd5-0f0d5c5d6da2,login,s_e48a331292b5,,,ios
evt_c4eba62cce5346f6a6,2026-01-17T18:34:48Z,869119f6-b3cc-46f4-9d15-e6dc58ee9ee8,page_view,s_b6e50dc94348,/settings,,android
evt_ae612823542942c899,2026-01-12T11:12:08Z,2d60d79a-1e0f-4b20-8954-4b015c555f5a,page_view,s_8fdf5f21a41f,/p2p/confirm,,android
evt_68241eaa8d144288b8,2026-01-27T23:14:33Z,3fb361ef-673f-4a66-81a5-00ee01e8ffec,p2p_initiate,s_3952e303b92c,/wallet,request_cta,web
evt_d4e595304712430daf,2026-01-01T00:44:57Z,ec4246b0-3da3-4023-abf2-e370974f1c15,page_view,s_d0390ed7710f,/wallet,,web
evt_d35fac32e3424115a2,2026-01-18T18:04:43Z,00c42f2e-13d4-4443-8b96-6f81fed45da3,page_view,s_feae80db9a2b,/activity,,web
evt_48243575a9df485bbc,2026-01-21T03:34:38Z,8123d765-db8c-410f-bde5-72bb09bd9960,p2p_initiate,s_92ac359044f3,/home,,ios
evt_f9ef920bfc9d45deb7,2026-01-18T22:34:00Z,852b9414-981e-4f7e-83c5-91466e512ae6,button_click,s_e55b0581f5e9,,,android
evt_0d54fff162494784bd,2026-01-28T09:00:58Z,d4859e08-5d12-4ce9-9dff-d9b0bcc3d612,button_click,s_da1ededab84e,,,android
evt_9704b2116b884190b0,2026-01-06T22:41:00Z,6114068c-5392-4494-be01-1aa5e243b1b6,p2p_initiate,s_e281485495db,/p2p/confirm,,android
evt_e847ca8dfaea46d792,2026-01-25T02:56:57Z,ba56e578-277e-4dcb-b7c0-765be10481d1,button_click,s_7858edfe2adc,,request_cta,android
evt_4fc92d2c722d42e5ba,2026-01-01T02:24:41Z,8f075b4b-0e79-4637-8f35-c0c6a2eeac47,page_view,s_e02db5a2f895,/settings,,ios
evt_04149509f1264f8989,2026-01-16T11:50:51Z,f5272cf1-bfba-41c0-8c42-b54b26d59732,page_view,s_a48681d60844,/wallet,,android
evt_184975e1444445f0b6,2026-01-23T00:38:57Z,4e9de6fe-8783-4c3d-a50d-44e40d14ca00,button_click,s_b648e4fc8abf,,cancel_cta,android
evt_4d171eb42ed84521b6,2026-01-03T10:49:13Z,4e47dca0-d320-4c00-9a08-0149b420fe07,button_click,s_fe46705a1875,,,android
evt_4e8903c3f61e42d39a,2026-01-08T04:48:05Z,8170d96e-0519-44cc-86cf-c0524dc518fb,page_view,s_98cd5c9091d3,/settings,,ios
evt_67655e969c774d99aa,2026-01-02T13:12:24Z,10edd504-6a83-4a69-86ae-2b61184f5f70,button_click,s_e460482ce7c0,,send_cta,android
evt_3a48cc192c274e95a5,2026-01-23T07:24:38Z,9c0554de-e112-49c3-a8ab-91898f85cb06,page_view,s_fb42a2af2f14,/wallet,,ios
evt_5490514d5df5410681,2026-01-12T00:57:25Z,2b196b03-8d06-4bf5-beed-25f7b035642a,login,s_fbcf0acbbd0d,,,android
evt_37d96b11eeb14f5b82,2026-01-09T06:53:17Z,08da47fd-ea0a-4759-ba8f-af436c2ada16,page_view,s_2c7dfbeb2920,/wallet,,android
evt_8dbbfac7bcf64277ab,2026-01-02T09:05:30Z,15e50dff-1ef4-4d9b-b9b2-90e97ee41838,p2p_initiate,s_8c6776f4d909,/wallet,send_cta,ios
evt_37582de5ed91480584,2026-01-25T01:36:02Z,9a5b1cfe-96f1-4c38-99ad-28858402d7cb,page_view,s_8e14f9bf06fb,/p2p/confirm,,android
evt_8e6da1c006f24a6198,2026-01-04T19:00:19Z,f128a29a-5ac7-446d-8c13-37ca92241b85,login,s_908ffe5a9c62,,,ios
evt_ee9c41581c354c4fb4,2026-01-25T10:10:42Z,b8dfaef9-cc6d-4848-a240-c370600ee556,button_click,s_f3b20b580369,,,android
evt_22b1e23b675a415b97,2026-01-15T02:53:54Z,ae75a6b7-5d0e-4ca6-8430-756bb20dd71d,page_view,s_a02c76670348,/home,,ios
evt_cd456213b03f4316aa,2026-01-29T07:08:09Z,a32de485-2f81-4831-aa7b-e14eb9bf541f,page_view,s_4e4427a740fa,/wallet,,ios
evt_2d55714c329d446ab2,2026-01-11T05:15:16Z,66581a87-49c7-46d1-9f9f-35c6e487472c,login,s_994e2b22c52b,,,web
evt_229790f2b5694a6cb2,2026-01-25T14:23:08Z,fc700afc-e940-4d06-8367-919ca81e1826,page_view,s_b7747217460e,/p2p/send,,ios
evt_b091665a6c424a5d97,2026-01-03T17:38:50Z,36ee914d-fd9d-41a5-883b-c13ce0e8c2b2,p2p_initiate,s_2a55e1b9667b,/home,send_cta,android
evt_4972edc8822f43c0a1,2026-01-02T00:16:51Z,d0166a08-12bc-4e45-abe2-d6db8c99fa28,button_click,s_17f0052f4bf3,,confirm_cta,android
evt_371c1b54af924a3f91,2026-01-07T03:19:54Z,9a6fe990-6b3e-4527-922e-45bd2769b07d,page_view,s_a997e222c571,/p2p,,ios
evt_1849eef6d9e94c9fb3,2026-01-05T11:18:51Z,4e47dca0-d320-4c00-9a08-0149b420fe07,login,s_f7d9fa436ca5,,,ios
evt_38914c45de3244238f,2026-01-20T22:51:07Z,6772a7b7-2cf8-4eb4-b899-7851df36d40e,button_click,s_3090d9bd6970,,,ios
evt_aca8d525241346e7a3,2026-01-24T01:09:59Z,797303c9-6a0a-4983-9ff9-b75dd35202b7,p2p_confirm,s_27047330fac9,/p2p,,ios
evt_67f97d04857a41da94,2026-01-05T10:06:49Z,1f309523-31a2-4365-860d-f4df3bf89c3d,button_click,s_62e3c79862fa,,,android
evt_ef6659d8ebd74c59b2,2026-01-19T20:31:34Z,b0659f3b-8391-49f7-ae3a-cabf0ec7ed9e,page_view,s_723530767836,/wallet,,ios
evt_87f82fc78bc74c64bf,2026-01-04T18:37:46Z,34ff2fdb-1078-4d88-8c75-bce24460b164,page_view,s_235bfb188147,/wallet,,ios
evt_3e9cec568005451495,2026-01-07T12:14:10Z,5d33d55c-a23a-4e48-9b59-9284429e8c7a,page_view,s_b8d2747a021b,/wallet,,ios
evt_7022a9b53aef4342a0,2026-01-02T12:27:01Z,5c06dced-9923-4cfd-9883-11f1784a1a32,button_click,s_d36a30b0c44c,,,ios
evt_d7bcd1f9651941e8af,2026-01-19T11:29:20Z,11bbf942-601a-4855-9e72-d27377fed049,page_view,s_3f58c89e5a1f,/p2p,,android
evt_4322631bee1c4988ac,2026-01-23T01:22:04Z,0b7dc84e-56be-484d-9ad4-a4065bc0515e,button_click,s_4a3581def98c,,,android
evt_6d06964e75514f6285,2026-01-08T09:33:59Z,1fef5606-bc86-4ccf-bdf5-170f399155fb,page_view,s_e87fdcc69bab,/activity,,ios
evt_5ea1ab2aeca042adb5,2026-01-17T08:14:40Z,6e877fd0-682b-4611-8611-4843fa6476c2,p2p_confirm,s_77acc8ceae4f,/settings,request_cta,android
evt_fd8c69770ecb4a609f,2026-01-04T17:33:44Z,24105d27-9c9b-46c2-afbd-aca0cb177d1d,page_view,s_4ce2d40d508e,/p2p,,ios
evt_5800735c808542309b,2026-01-03T14:23:57Z,d52b6c30-01d2-43e5-a90b-a785ed37cc67,page_view,s_e4a4dd68c94e,/p2p,,ios
evt_202adad6b58643bd94,2026-01-14T16:42:49Z,1df99acf-87a4-46ce-ad31-9e9996492a37,page_view,s_2b32e1a806e0,/p2p/send,,web
evt_95572a2d9a8743fbb4,2026-01-13T09:50:21Z,837d0f56-f90a-47f4-863e-07e6d6d51f3f,page_view,s_81293f314011,/p2p/send,,android
evt_ad89aeae2b8242f695,2026-01-09T02:59:34Z,4f412501-2bbc-4eb6-a3c8-e8c75e8e5b05,page_view,s_52b00de7dd19,/p2p/send,,android
evt_79391549b4f64173a8,2026-01-22T08:53:16Z,60b07ca5-2a66-4bc1-807a-05e5215a1279,page_view,s_ef7913a81918,/p2p,,ios
evt_4ef9247b85a8473684,2026-01-09T01:33:00Z,0a2de2e8-7b00-4bdb-9adb-87605d16c47f,button_click,s_2b635994180d,,,ios
evt_6290f468e348443583,2026-01-29T23:59:18Z,2a67d73d-9b08-4886-8b9d-820276ca00fb,button_click,s_fc6f156c6e34,,,ios
evt_73afb0e4e9664d6695,2026-01-22T20:09:56Z,c1f79757-d19c-410b-96c0-7b7a32155f51,page_view,s_9084ca8666b8,/wallet,,ios
evt_ddd5d4baa53f477982,2026-01-20T07:53:22Z,c488b7c1-162c-489c-9c6d-6c3c9708d827,login,s_17b6288c3feb,,,android
evt_b40255c713a44fb9bf,2026-01-25T20:01:48Z,cf85d54e-cafb-4d8d-bdd5-0f0d5c5d6da2,page_view,s_c0482f79de9c,/wallet,,web
evt_589351ee98624bc2ae,2026-01-03T06:02:42Z,6975ce06-3f61-48e2-90ab-f36d6d522136,page_view,s_9f5a08c97a7a,/p2p,,ios
evt_c53ef627320a49f89f,2026-01-28T11:36:56Z,c7db9607-4370-4fa8-9d4d-f831b5e1f181,page_view,s_c94326eaafa4,/home,,ios
evt_85f29d181f6647f1b6,2026-01-16T10:26:13Z,ae0c3705-b20a-45c9-b10e-7ea8d611888c,page_view,s_3d8c45d767be,/home,,ios
